us_aqi,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_24,aqi_change_1h,aqi_change_3h,aqi_rolling_mean_6h,aqi_rolling_mean_24h,next_temperature_2m,next_relative_humidity_2m,next_precipitation,next_surface_pressure,next_wind_speed_10m,next_pm2_5,next_pm10,next_carbon_monoxide,next_nitrogen_dioxide,next_sulphur_dioxide,next_ozone,next_hour_sin,next_hour_cos,next_dow_sin,next_dow_cos,next_month_sin,next_month_cos
144,143.0,142.0,140.0,134.0,1.0,2.0,142.16666666666666,148.54166666666666,28.1,78.0,0.0,978.0,4.4,56.6,75.9,453.0,40.4,11.9,34.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
168,168.0,168.0,202.0,159.0,0.0,0.0,169.5,175.66666666666666,31.1,64.0,0.0,974.2,5.8,85.2,99.9,972.0,70.0,16.9,31.0,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387
122,121.0,121.0,180.0,154.0,1.0,1.0,134.66666666666666,141.08333333333334,34.4,56.0,0.0,971.5,3.7,69.2,124.3,670.0,58.3,13.0,17.0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
267,252.0,229.0,189.0,155.0,15.0,38.0,233.83333333333334,181.875,28.4,77.0,0.3,976.6,15.5,142.0,451.7,552.0,25.9,10.3,76.0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
184,192.0,182.0,155.0,219.0,-8.0,2.0,178.33333333333334,176.95833333333334,34.4,51.0,0.0,975.3,7.7,58.6,72.6,802.0,45.1,12.7,91.0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
206,203.0,173.0,157.0,189.0,3.0,33.0,181.66666666666666,161.83333333333334,36.6,46.0,0.0,971.0,3.3,98.3,135.5,769.0,39.6,18.8,136.0,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
188,163.0,156.0,152.0,160.0,25.0,32.0,162.16666666666666,155.29166666666666,37.6,45.0,0.0,970.4,7.3,99.4,139.2,742.0,10.5,13.7,232.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
159,160.0,162.0,166.0,184.0,-1.0,-3.0,161.5,176.66666666666666,38.6,38.0,0.0,972.8,1.9,75.7,147.6,604.0,5.9,18.6,279.0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0
156,156.0,156.0,158.0,162.0,0.0,0.0,156.33333333333334,167.45833333333334,33.5,60.0,0.0,972.5,3.8,85.4,258.9,386.0,4.2,8.8,180.0,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
174,174.0,173.0,171.0,173.0,0.0,1.0,173.16666666666666,171.25,31.5,67.0,0.0,973.7,1.8,71.0,140.6,723.0,28.2,24.2,115.0,0.258819045102521,-0.9659258262890682,0.0,1.0,1.2246467991473532e-16,-1.0
175,176.0,176.0,175.0,175.0,-1.0,-1.0,175.83333333333334,180.66666666666666,29.9,67.0,0.0,977.0,1.8,79.4,154.6,1606.0,20.0,20.0,130.0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0
158,158.0,158.0,158.0,162.0,0.0,0.0,158.0,169.0,31.2,74.0,0.0,976.2,3.4,81.5,130.9,1133.0,44.4,18.1,73.0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
159,159.0,158.0,157.0,155.0,0.0,1.0,158.16666666666666,157.04166666666666,32.0,65.0,0.0,974.8,6.1,82.0,165.8,867.0,35.3,10.6,33.0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
168,170.0,172.0,175.0,172.0,-2.0,-4.0,171.5,173.58333333333334,27.6,95.0,2.7,975.8,8.2,41.6,70.1,370.0,20.1,9.5,54.0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
87,85.0,82.0,77.0,94.0,2.0,5.0,82.5,80.91666666666667,26.8,86.0,0.0,976.3,6.0,40.4,40.6,637.0,28.4,8.2,43.0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0
94,103.0,142.0,99.0,87.0,-9.0,-48.0,122.16666666666667,95.91666666666667,28.8,84.0,0.0,976.0,8.5,67.5,67.8,1436.0,68.5,13.4,30.0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
164,168.0,140.0,112.0,99.0,-4.0,24.0,143.66666666666666,108.41666666666667,30.0,89.0,0.0,976.1,2.8,79.2,79.6,2844.0,77.1,18.3,42.0,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
201,195.0,167.0,167.0,219.0,6.0,34.0,178.5,174.25,31.5,79.0,0.0,971.6,6.6,75.0,86.1,922.0,33.7,12.3,129.0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0
176,148.0,136.0,127.0,118.0,28.0,40.0,143.5,126.70833333333333,32.2,73.0,1.2,972.6,7.3,50.2,64.0,841.0,15.5,14.1,213.0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0
102,103.0,105.0,104.0,127.0,-1.0,-3.0,104.0,115.5,33.4,62.0,0.1,973.8,4.8,25.6,27.1,377.0,3.2,9.3,180.0,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388
99,100.0,104.0,111.0,120.0,-1.0,-5.0,103.16666666666667,126.66666666666667,33.0,69.0,2.4,976.3,7.9,25.2,25.7,507.0,4.9,8.1,180.0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,-0.4999999999999997,-0.8660254037844388
153,154.0,154.0,153.0,110.0,-1.0,-1.0,153.83333333333334,154.20833333333334,33.5,59.0,0.2,975.3,3.1,50.1,58.4,626.0,9.0,13.9,180.0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388
